TIP_MUESTREO,PUERTO,ORIGEN,ARTE,UNIPESCOD
1,A Coruña,Divisiones VIIIabde,PALANGRE DE FONDO,PALANGRE_AC
1,A Coruña,Divisiones VIIIabde,VOLANTA,ENMALLE_AC
1,A Coruña,Subárea VI (ICES),PALANGRE DE FONDO,PALANGRE_AC
1,A Coruña,Subárea VII (ICES),BACA,MERLUCER_AC
1,A Coruña,Subárea VII (ICES),BACA,RAPANTER_AC
1,A Coruña,Subárea VII (ICES),PALANGRE DE FONDO,PALANGRE_AC
1,Avilés,Divisiones VIIIabde,PALANGRE DE FONDO,PALANGRE_AC
1,Avilés,Divisiones VIIIabde,VOLANTA,ENMALLE_AC
1,Avilés,Subdivisión IXa-Norte,PALANGRES SIN IDENTIFICAR,PALANGRE_CN
1,Avilés,Subdivisión IXa-Norte,TRASMALLO,TRASMALL_CN
1,Avilés,Subdivisión VIIIc-Este,BACA,BACA_CN
1,Avilés,Subdivisión VIIIc-Este,BACA,JURELERA_CN
1,Avilés,Subdivisión VIIIc-Este,BETA,BETA_CN
1,Avilés,Subdivisión VIIIc-Este,CERCO,CERCO_CN
1,Avilés,Subdivisión VIIIc-Este,LINEAS FIJAS,LIN_CABALLA
1,Avilés,Subdivisión VIIIc-Este,LINEAS FIJAS,LIN_CALAMAR
1,Avilés,Subdivisión VIIIc-Este,LINEAS FIJAS,LIN_MERLUZA
1,Avilés,Subdivisión VIIIc-Este,NASA,NASA_NECORA
1,Avilés,Subdivisión VIIIc-Este,NASA,NASA_PECES
1,Avilés,Subdivisión VIIIc-Este,NASA,NASAPULP_CN
1,Avilés,Subdivisión VIIIc-Este,PALANGRES SIN IDENTIFICAR,PALANGRE_CN
1,Avilés,Subdivisión VIIIc-Este,PAREJA,PAREJA_CN
1,Avilés,Subdivisión VIIIc-Este,RASCO,RASCO_CN
1,Avilés,Subdivisión VIIIc-Este,TRASMALLO,TRASMALL_CN
1,Avilés,Subdivisión VIIIc-Este,VOLANTA,VOLANTA_CN
1,Avilés,Subdivisión VIIIc-Oeste,BACA,BACA_CN
1,Avilés,Subdivisión VIIIc-Oeste,CERCO,CERCO_CN
1,Avilés,Subdivisión VIIIc-Oeste,LINEAS FIJAS,LIN_CABALLA
1,Avilés,Subdivisión VIIIc-Oeste,PALANGRES SIN IDENTIFICAR,PALANGRE_CN
1,Avilés,Subdivisión VIIIc-Oeste,TRASMALLO,TRASMALL_CN
1,Cádiz,Subdivisión IXa-Sur,CERCO,CERCO_GC
1,Finisterre,Subdivisión IXa-Norte,BETA,BETA_CN
1,Finisterre,Subdivisión IXa-Norte,TRASMALLO,TRASMALL_CN
1,Finisterre,Subdivisión IXa-Norte,VOLANTA,VOLANTA_CN
1,Finisterre,Subdivisión VIIIc-Oeste,BETA,BETA_CN
1,Finisterre,Subdivisión VIIIc-Oeste,VOLANTA,VOLANTA_CN
1,Gijón,Subdivisión VIIIc-Este,BACA,BACA_CN
1,Gijón,Subdivisión VIIIc-Este,BACA,JURELERA_CN
1,Gijón,Subdivisión VIIIc-Este,LINEAS FIJAS,LIN_CABALLA
1,Gijón,Subdivisión VIIIc-Este,PALANGRES SIN IDENTIFICAR,PALANGRE_CN
1,Gijón,Subdivisión VIIIc-Este,TRASMALLO,TRASMALL_CN
1,Isla Cristina,Subdivisión IXa-Sur,CERCO,CERCO_GC
1,Marín,Subdivisión IXa-Norte,BACA,BACA_CN
1,Muros,Subdivisión IXa-Norte,BETA,BETA_CN
1,Muros,Subdivisión IXa-Norte,NASA,NASAPULP_CN
1,San Vicente de la Barquera,Subdivisión VIIIc-Este,RASCO,RASCO_CN
1,Sanlúcar de Barrameda,Subdivisión IXa-Sur,CERCO,CERCO_GC
1,Santa Eugenia de Ribeira,Subdivisión IXa-Norte,BACA,BACA_CN
1,Santa Eugenia de Ribeira,Subdivisión IXa-Norte,BACA,JURELERA_CN
1,Santa Eugenia de Ribeira,Subdivisión IXa-Norte,BETA,BETA_CN
1,Santa Eugenia de Ribeira,Subdivisión IXa-Norte,PALANGRES,PALANGRE_CN
1,Santa Eugenia de Ribeira,Subdivisión IXa-Norte,PAREJA,PAREJA_CN
1,Santa Eugenia de Ribeira,Subdivisión IXa-Norte,TRASMALLO,TRASMALL_CN
1,Santa Eugenia de Ribeira,Subdivisión VIIIc-Oeste,BACA,JURELERA_CN
1,Santa Eugenia de Ribeira,Subdivisión VIIIc-Oeste,PAREJA,PAREJA_CN
1,Santander,Divisiones VIIIabde,BACA,BACA_AC
1,Santander,Divisiones VIIIabde,VOLANTA,ENMALLE_AC
1,Santander,Subárea VII (ICES),VOLANTA,ENMALLE_AC
1,Santander,Subdivisión VIIIc-Este,BACA,BACA_CN
1,Santander,Subdivisión VIIIc-Este,BACA,JURELERA_CN
1,Santander,Subdivisión VIIIc-Este,BETA,BETA_CN
1,Santander,Subdivisión VIIIc-Este,MIÑO,TRASMALL_CN
1,Santander,Subdivisión VIIIc-Este,NASA,NASAPULP_CN
1,Santander,Subdivisión VIIIc-Este,PALANGRES SIN IDENTIFICAR,PALANGRE_CN
1,Santander,Subdivisión VIIIc-Este,TRASMALLO,TRASMALL_CN
1,Santander,Subdivisión VIIIc-Este,VOLANTA,VOLANTA_CN
1,Santoña,Divisiones VIIIabde,CERCO,CERCO_CN
1,Santoña,Subdivisión VIIIc-Este,CERCO,CERCO_CN
1,Vigo,Subárea VII (ICES),BACA,RAPANTER_AC
1,Vigo,Subdivisión IXa-Centro Norte,BACA,BACA_APN
1,Vigo,Subdivisión IXa-Norte,BACA,BACA_CN
1,Vigo,Subdivisión IXa-Norte,CERCO,CERCO_CN
2,A Coruña,Divisiones VIIIabde,PALANGRE DE FONDO,PALANGRE_AC
2,A Coruña,Subárea VII (ICES),BACA,MERLUCER_AC
2,A Coruña,Subárea VII (ICES),PALANGRE DE FONDO,PALANGRE_AC
2,A Coruña,Subdivisión IXa-Norte,BACA,BACA_CN
2,A Coruña,Subdivisión IXa-Norte,CERCO,CERCO_CN
2,A Coruña,Subdivisión IXa-Norte,PALANGRE DE FONDO,PALANGRE_CN
2,A Coruña,Subdivisión VIIIc-Este,CERCO,CERCO_CN
2,A Coruña,Subdivisión VIIIc-Este,PALANGRE DE FONDO,PALANGRE_CN
2,A Coruña,Subdivisión VIIIc-Este,PAREJA,PAREJA_CN
2,A Coruña,Subdivisión VIIIc-Oeste,BACA,BACA_CN
2,A Coruña,Subdivisión VIIIc-Oeste,BACA,JURELERA_CN
2,A Coruña,Subdivisión VIIIc-Oeste,CERCO,CERCO_CN
2,A Coruña,Subdivisión VIIIc-Oeste,NASA,NASAPULP_CN
2,A Coruña,Subdivisión VIIIc-Oeste,PALANGRE DE FONDO,PALANGRE_CN
2,A Coruña,Subdivisión VIIIc-Oeste,PAREJA,PAREJA_CN
2,Avilés,Divisiones VIIIabde,PALANGRE DE FONDO,PALANGRE_AC
2,Avilés,Subárea VII (ICES),PALANGRE DE FONDO,PALANGRE_AC
2,Avilés,Subdivisión VIIIc-Este,BACA,JURELERA_CN
2,Avilés,Subdivisión VIIIc-Este,BETA,BETA_CN
2,Avilés,Subdivisión VIIIc-Este,CERCO,CERCO_CN
2,Avilés,Subdivisión VIIIc-Este,LINEAS FIJAS,LIN_CABALLA
2,Avilés,Subdivisión VIIIc-Este,PALANGRES SIN IDENTIFICAR,PALANGRE_CN
2,Avilés,Subdivisión VIIIc-Este,PAREJA,PAREJA_CN
2,Avilés,Subdivisión VIIIc-Este,TRASMALLO,TRASMALL_CN
2,Barbate,Subdivisión IXa-Sur,CERCO,CERCO_GC
2,Barbate,Subdivisión IXa-Sur,PALANGRE DE FONDO,SABLE_GC
2,Burela,Subdivisión VIIIc-Este,BACA,BACA_CN
2,Burela,Subdivisión VIIIc-Este,BACA,JURELERA_CN
2,Burela,Subdivisión VIIIc-Oeste,BACA,BACA_CN
2,Burela,Subdivisión VIIIc-Oeste,BACA,JURELERA_CN
2,Cedeira,Subdivisión VIIIc-Este,RASCO,RASCO_CN
2,Cedeira,Subdivisión VIIIc-Oeste,RASCO,RASCO_CN
2,Cedeira,Subdivisión VIIIc-Oeste,VOLANTA,VOLANTA_CN
2,Cillero,Divisiones VIIIabde,PALANGRE DE FONDO,PALANGRE_AC
2,Cillero,Divisiones VIIIabde,VOLANTA,ENMALLE_AC
2,Cillero,Subárea VII (ICES),PALANGRE DE FONDO,PALANGRE_AC
2,Cillero,Subárea VII (ICES),VOLANTA,ENMALLE_AC
2,Finisterre,Subdivisión IXa-Norte,BETA,BETA_CN
2,Finisterre,Subdivisión IXa-Norte,VOLANTA,BETA_CN
2,Finisterre,Subdivisión IXa-Norte,VOLANTA,VOLANTA_CN
2,Gijón,Divisiones VIIIabde,BACA,BACA_AC
2,Gijón,Subdivisión VIIIc-Este,BACA,BACA_CN
2,Gijón,Subdivisión VIIIc-Este,BACA,JURELERA_CN
2,Gijón,Subdivisión VIIIc-Este,CERCO,CERCO_CN
2,Gijón,Subdivisión VIIIc-Este,PALANGRES SIN IDENTIFICAR,PALANGRE_CN
2,Gijón,Subdivisión VIIIc-Este,TRASMALLO,TRASMALL_CN
2,Gijón,Subdivisión VIIIc-Este,VOLANTA,VOLANTA_CN
2,Gijón,Subdivisión VIIIc-Oeste,BACA,BACA_CN
2,Luarca,Subdivisión VIIIc-Este,VOLANTA,VOLANTA_CN
2,Marín,Subdivisión IXa-Norte,BACA,BACA_CN
2,Marín,Subdivisión VIIIc-Oeste,BACA,BACA_CN
2,Muros,Subdivisión IXa-Norte,BETA,BETA_CN
2,Muros,Subdivisión IXa-Norte,NASA,NASAPULP_CN
2,San Vicente de la Barquera,Subdivisión VIIIc-Este,RASCO,RASCO_CN
2,Santa Eugenia de Ribeira,Subdivisión IXa-Norte,BACA,BACA_CN
2,Santa Eugenia de Ribeira,Subdivisión IXa-Norte,BACA,JURELERA_CN
2,Santa Eugenia de Ribeira,Subdivisión IXa-Norte,BACA,PAREJA_CN
2,Santa Eugenia de Ribeira,Subdivisión IXa-Norte,BETA,BETA_CN
2,Santa Eugenia de Ribeira,Subdivisión IXa-Norte,CERCO,CERCO_CN
2,Santa Eugenia de Ribeira,Subdivisión IXa-Norte,PALANGRES,PALANGRE_CN
2,Santa Eugenia de Ribeira,Subdivisión IXa-Norte,PAREJA,PAREJA_CN
2,Santa Eugenia de Ribeira,Subdivisión VIIIc-Este,BACA,JURELERA_CN
2,Santa Eugenia de Ribeira,Subdivisión VIIIc-Este,CERCO,CERCO_CN
2,Santa Eugenia de Ribeira,Subdivisión VIIIc-Este,PALANGRES,PALANGRE_CN
2,Santa Eugenia de Ribeira,Subdivisión VIIIc-Este,PAREJA,PAREJA_CN
2,Santa Eugenia de Ribeira,Subdivisión VIIIc-Oeste,BACA,BACA_CN
2,Santa Eugenia de Ribeira,Subdivisión VIIIc-Oeste,BACA,JURELERA_CN
2,Santa Eugenia de Ribeira,Subdivisión VIIIc-Oeste,CERCO,CERCO_CN
2,Santa Eugenia de Ribeira,Subdivisión VIIIc-Oeste,PAREJA,PAREJA_CN
2,Santander,Divisiones VIIIabde,BACA,BACA_AC
2,Santander,Subdivisión VIIIc-Este,BACA,BACA_CN
2,Santander,Subdivisión VIIIc-Este,BACA,JURELERA_CN
2,Santoña,Divisiones VIIIabde,CERCO,CERCO_CN
2,Santoña,Subdivisión VIIIc-Este,CERCO,CERCO_CN
2,Santoña,Subdivisión VIIIc-Este,LINEAS FIJAS,LIN_CABALLA
2,Santoña,Subdivisión VIIIc-Este,RASCO,RASCO_CN
2,Tarifa,Subdivisión IXa-Sur,LINEAS MOVILES,VORACERA_GC
2,Vigo,Subárea VII (ICES),BACA,RAPANTER_AC
2,Vigo,Subdivisión IXa-Centro Norte,BACA,BACA_APN
2,Vigo,Subdivisión IXa-Norte,CERCO,CERCO_CN
4,Ayamonte,Subdivisión IXa-Sur,BACA,BACA_GC
4,Barbate,Subdivisión IXa-Sur,BACA,BACA_GC
4,Cádiz,Subdivisión IXa-Sur,CERCO,CERCO_GC
4,Isla Cristina,Subdivisión IXa-Sur,BACA,BACA_GC
4,Isla Cristina,Subdivisión IXa-Sur,CERCO,CERCO_GC
4,Puerto de Santa María,Subdivisión IXa-Sur,CERCO,CERCO_GC
4,Punta Umbría,Subdivisión IXa-Sur,BACA,BACA_GC
4,Punta Umbría,Subdivisión IXa-Sur,CERCO,CERCO_GC
4,Sanlúcar de Barrameda,Subdivisión IXa-Sur,BACA,BACA_GC
4,Sanlúcar de Barrameda,Subdivisión IXa-Sur,CERCO,CERCO_GC
